,PseudoTime1
HSPC_025,0.073347055
HSPC_031,0.066139197
LT_HSC_001,0.037340091
HSPC_001,0.048255594
HSPC_008,0.059678558
HSPC_014,0.064313955
HSPC_020,0.01398489
LT_HSC_002,0.063736564
HSPC_002,0.045089318
HSPC_021,0.074943168
HSPC_027,0.085062633
HSPC_003,0.096986587
HSPC_034,0.104733448
LT_HSC_004,0.030501072
HSPC_017,0.042736972
HSPC_035,0.051317576
HSPC_041,0.07007395
HSPC_018,0.070602719
HSPC_024,0.0586901
HSPC_036,0.097896094
LT_HSC_006,0.068374679
Prog_007,0.13323037
Prog_013,0.101700885
Prog_019,0.13323037
Prog_031,0.094539244
Prog_001,0.123076798
Prog_026,0.087053504
Prog_015,0.090342278
LT_HSC_009,0.033224724
Prog_010,0.099881007
Prog_040,0.073021707
LT_HSC_010,0.131916685
Prog_017,0.125356583
LT_HSC_012,0.02925637
Prog_012,0.08892455
HSPC_055,0.087859401
HSPC_061,0.078738737
HSPC_067,0.07427894
HSPC_073,0.073589292
HSPC_079,0.091828967
LT_HSC_013,0.035903592
HSPC_043,0.078469618
HSPC_062,0.090880985
HSPC_074,0.042278153
LT_HSC_014,0.03393515
HSPC_044,0.131853209
HSPC_057,0.021261187
HSPC_063,0.124699684
HSPC_069,0.04103263
HSPC_075,0.035168627
HSPC_081,0.066163765
LT_HSC_015,0.035604419
HSPC_045,0.074825076
HSPC_052,0.124701621
HSPC_076,0.071510953
HSPC_082,0.072101623
LT_HSC_016,0.025807837
HSPC_053,0.092534554
HSPC_065,0.08455674
HSPC_071,0.094983371
HSPC_077,0.091541877
HSPC_083,0.035337327
LT_HSC_017,0.049991546
HSPC_047,0.055521572
HSPC_060,0.044136777
HSPC_066,0.023383031
HSPC_072,0.13323037
HSPC_084,0.064594803
LT_HSC_018,0.031221163
Prog_055,0.123004499
Prog_050,0.12725544
Prog_068,0.13323037
Prog_080,0.122722997
Prog_044,0.089897214
Prog_057,0.1172674
Prog_063,0.122758908
Prog_075,0.122900142
LT_HSC_021,0.04763983
Prog_052,0.108762707
Prog_070,0.08893644
LT_HSC_022,0.029292967
Prog_065,0.13323037
Prog_083,0.115532479
LT_HSC_023,0.03135877
Prog_047,0.121563096
Prog_066,0.105961096
Prog_048,0.067705632
HSPC_109,0.099020589
HSPC_115,0.07224604
HSPC_085,0.066153801
HSPC_104,0.066874846
HSPC_099,0.062565255
HSPC_111,0.03958784
HSPC_087,0.01974147
HSPC_094,0.081141538
HSPC_106,0.04702117
HSPC_118,0.070216131
LT_HSC_028,0.035531728
HSPC_088,0.067140304
HSPC_095,0.010275039
HSPC_119,0.050494139
HSPC_089,0.076991677
HSPC_102,0.126737053
